feature,importance
Constant Value Count,0.2003773936006356
Sentence Length,0.12411909512590066
Parentheses Count,0.09649951681700437
e_conn_count,0.09078958428368931
e_unique_dst_ip,0.08378840747370327
e_unique_dst_port,0.07735509364772797
e_mean_orig_pkts,0.043688412126401864
e_mean_duration,0.031332780209559756
e_tcp_ratio,0.03002409243263275
Single Quote Count,0.027102402207915818
Double Quote Count,0.024676807295040026
AND Count,0.022695073996669174
OR Count,0.020677802167468545
Special Characters Total,0.019622423764999033
UNION Count,0.018833947270948892
e_interarrival_std,0.014720690616126826
e_std_duration,0.012546098568592803
e_udp_ratio,0.011653667176325724
e_dns_ratio,0.01156498693591103
e_rst_ratio,0.010941325806318286
e_mean_orig_bytes,0.009115485021532001
e_mean_resp_pkts,0.00791620788302959
e_mean_resp_bytes,0.005989328810298981
e_ssl_ratio,0.0021397183029866766
e_rej_ratio,0.0013356993904983345
e_http_ratio,0.0004939590680826578
