cand,mean_f1,std_f1,max_depth,min_samples_leaf,min_samples_split,n_estimators_tune,max_features_fixed,class_weight_fixed
10,0.9909318085683505,0.0010441909210811662,16.0,1,2,120,sqrt,balanced_subsample
11,0.99089249146128,0.001273121758328899,16.0,1,5,120,sqrt,balanced_subsample
1,0.9908046714215081,0.0011676446628956052,,1,2,120,sqrt,balanced_subsample
2,0.9908045576134749,0.001119173741951872,,1,5,120,sqrt,balanced_subsample
3,0.9905923577166595,0.0012528210369554527,,1,10,120,sqrt,balanced_subsample
12,0.9905899542423258,0.001431313318922651,16.0,1,10,120,sqrt,balanced_subsample
19,0.9900908814131156,0.001035203523425619,12.0,1,2,120,sqrt,balanced_subsample
6,0.9900154481515857,0.001569813154216838,,2,10,120,sqrt,balanced_subsample
14,0.9900121045173007,0.0016266303507256209,16.0,2,5,120,sqrt,balanced_subsample
4,0.989966469288504,0.0016455597027306486,,2,2,120,sqrt,balanced_subsample
13,0.98996538361652,0.001609223386132475,16.0,2,2,120,sqrt,balanced_subsample
20,0.9899566040206196,0.0010176267680473102,12.0,1,5,120,sqrt,balanced_subsample
5,0.9899219992818076,0.0017519762601431019,,2,5,120,sqrt,balanced_subsample
15,0.9898372393380225,0.001696825847533419,16.0,2,10,120,sqrt,balanced_subsample
21,0.9894323223327965,0.0014394758968713207,12.0,1,10,120,sqrt,balanced_subsample
23,0.9892054768560785,0.001237830333421103,12.0,2,5,120,sqrt,balanced_subsample
22,0.9891641877690163,0.001410813793064163,12.0,2,2,120,sqrt,balanced_subsample
24,0.9890775499275997,0.0012722701874989047,12.0,2,10,120,sqrt,balanced_subsample
7,0.9889163161133894,0.0017155839772823064,,4,2,120,sqrt,balanced_subsample
8,0.9889163161133894,0.0017155839772823064,,4,5,120,sqrt,balanced_subsample
16,0.9886498864453618,0.0016460328979018752,16.0,4,2,120,sqrt,balanced_subsample
17,0.9886498864453618,0.0016460328979018752,16.0,4,5,120,sqrt,balanced_subsample
9,0.9886484618548165,0.0012957909146427992,,4,10,120,sqrt,balanced_subsample
18,0.9886023517155408,0.0014818167826763863,16.0,4,10,120,sqrt,balanced_subsample
25,0.9885508083171504,0.0015459016682856088,12.0,4,2,120,sqrt,balanced_subsample
26,0.9885508083171504,0.0015459016682856088,12.0,4,5,120,sqrt,balanced_subsample
27,0.9881568222674642,0.001634319442781032,12.0,4,10,120,sqrt,balanced_subsample
28,0.986718263184423,0.002055539301401143,8.0,1,2,120,sqrt,balanced_subsample
29,0.986543040307373,0.0022182629604249973,8.0,1,5,120,sqrt,balanced_subsample
30,0.9864549927616985,0.0020908096839057067,8.0,1,10,120,sqrt,balanced_subsample
33,0.9864535812187178,0.001909646127450938,8.0,2,10,120,sqrt,balanced_subsample
32,0.9864113113068879,0.0021029163999178677,8.0,2,5,120,sqrt,balanced_subsample
31,0.986366578391463,0.0020962828658460204,8.0,2,2,120,sqrt,balanced_subsample
36,0.9861897129121943,0.0016715107983738648,8.0,4,10,120,sqrt,balanced_subsample
34,0.985744943576145,0.0018680182411438225,8.0,4,2,120,sqrt,balanced_subsample
35,0.985744943576145,0.0018680182411438225,8.0,4,5,120,sqrt,balanced_subsample
45,0.9777158480415642,0.002200099213695792,6.0,4,10,120,sqrt,balanced_subsample
37,0.9776740578073181,0.0023281653785114558,6.0,1,2,120,sqrt,balanced_subsample
40,0.9776701194975862,0.0023745218706184143,6.0,2,2,120,sqrt,balanced_subsample
39,0.9776313794003222,0.0021889224635798818,6.0,1,10,120,sqrt,balanced_subsample
38,0.977627116448778,0.0023172742786126614,6.0,1,5,120,sqrt,balanced_subsample
43,0.9775860919111221,0.002048920676104493,6.0,4,2,120,sqrt,balanced_subsample
44,0.9775860919111221,0.002048920676104493,6.0,4,5,120,sqrt,balanced_subsample
42,0.9775848976644802,0.0023724638859161985,6.0,2,10,120,sqrt,balanced_subsample
41,0.9775390624944039,0.002349755332770845,6.0,2,5,120,sqrt,balanced_subsample
